slug,name,is_active,action,reason,url,health_tags
alliance-collision-project,Alliance Theatre Palefsky Collision Project,False,archive,covered_by_active_source:alliance-theatre,https://www.alliancetheatre.org,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-apparel-market,Atlanta Apparel Market,False,rebuild,independent_recurring_target,https://www.atlanta-apparel.com,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-braves-opening-day,Atlanta Braves Opening Day,False,archive,covered_by_active_source:truist-park,https://www.mlb.com/braves,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-cocktail-week,Atlanta Cocktail Week,False,rebuild,independent_recurring_target,https://atlantacocktailweek.com/,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-coin-show,Greater Atlanta Coin Show,False,rebuild,independent_recurring_target,http://atlcoin.com,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-hawks-home-opener,Atlanta Hawks Home Opener,False,archive,oneoff_sports_event,https://www.nba.com/hawks,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-home-show,Atlanta Home Show,False,rebuild,independent_recurring_target,https://www.atlantahomeshow.com,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-restaurant-week,Atlanta Restaurant Week,False,archive,seasonal_promo_campaign,https://atlantarestaurantweek.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-salsa-congress,Atlanta Salsa & Bachata Festival,False,archive,superseded_by:atlanta-salsa-bachata-festival,https://www.atlantasbf.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-st-patricks-parade,Atlanta St. Patrick's Parade,True,keep-active,already_active_source,https://atlantastpats.com,"['demoted-action-keep-active', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-united-season-opener,Atlanta United FC Season Opener,False,archive,oneoff_sports_event,https://www.atlutd.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
atlanta-wine-week,Atlanta Food & Wine Festival,False,archive,superseded_by:atlanta-food-wine-festival,https://atlfoodandwinefestival.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
beer-bourbon-bbq,"Beer, Bourbon & BBQ Festival",False,archive,superseded_by:beer-bourbon-bbq-atlanta,https://atlanta.beerandbourbon.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
braves-country-fest,Braves Country Fest,False,archive,covered_by_active_source:truist-park,https://www.mlb.com/braves/fans/music-fest,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
braves-fest,Braves Fest,False,archive,covered_by_active_source:truist-park,https://www.mlb.com/braves,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
chick-fil-a-kickoff-game,Chick-fil-A Kickoff Game,False,archive,oneoff_sports_event,https://www.chick-fil-akickoffgame.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
chick-fil-a-peach-bowl,Chick-fil-A Peach Bowl,False,archive,oneoff_sports_event,https://www.chick-fil-apeachbowl.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
collect-a-con-atlanta,Collect-A-Con Atlanta,False,archive,superseded_by:collect-a-con-atlanta-spring/fall,https://collectacon.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
college-football-playoff-natl,College Football Playoff National Championship,False,archive,oneoff_sports_event,https://collegefootballplayoff.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
covington-vampire-diaries,Vampire Diaries Festival Covington,False,archive,superseded_by:covington-vampire-diaries-fest,https://creationent.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
fernbank-after-dark,Fernbank After Dark,False,archive,covered_by_active_source:fernbank,https://fernbankmuseum.org,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
garden-lights-holiday-nights,"Garden Lights, Holiday Nights",False,rebuild,independent_recurring_target,https://atlantabg.org,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
horizon-new-south-fest,Horizon Theatre New South Play Festival,False,archive,covered_by_active_source:horizon-theatre,https://www.horizontheatre.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
illuminights-zoo,IllumiNights at the Zoo,False,archive,covered_by_active_source:zoo-atlanta,https://zooatlanta.org,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
sec-championship-game,SEC Championship Game,False,archive,oneoff_sports_event,https://www.secsports.com,"['demoted-action-archive', 'do-not-build-crawler', 'festival-model-cleanup', 'not-in-festivals-table', 'retyped-from-festival']"
smyrna-oysterfest,Smyrna Oysterfest,False,rebuild,independent_recurring_target,https://atkinspark.com,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
woodstock-summer-concert-series,Woodstock Summer Concert Series,False,rebuild,independent_recurring_target,https://www.woodstockga.gov,"['demoted-action-rebuild', 'festival-model-cleanup', 'needs-crawler-evaluation', 'not-in-festivals-table', 'retyped-from-festival']"
